date,season_year,team,opponent,goals_scored,goals_conceded,shots,shots_on_target,corners,fouls,yellow_cards,red_cards,points,home_away,goal_difference,shot_conversion_rate,efficiency_score
2000-09-09,2000,Leicester,Southampton,1,0,17,6,10,6,0,0,3,Home,1,0.16666666666666666,0.9411764705882353
2000-09-09,2000,Liverpool,Man City,3,2,14,8,9,17,3,0,3,Home,1,0.375,2.0
2000-09-09,2000,Man United,Sunderland,3,0,15,7,4,18,1,0,3,Home,3,0.42857142857142855,1.7333333333333334
2000-09-09,2000,Middlesbrough,Everton,1,2,9,5,7,16,3,0,0,Home,-1,0.2,1.5555555555555556
2000-09-09,2000,Newcastle,Chelsea,0,0,10,4,5,17,0,0,1,Home,0,0.0,0.8
2000-09-10,2000,Derby,Charlton,2,2,12,6,4,17,3,0,1,Home,0,0.3333333333333333,1.6666666666666667
2000-09-11,2000,Tottenham,West Ham,1,0,15,7,11,14,1,0,3,Home,1,0.14285714285714285,1.2
2000-09-16,2000,Arsenal,Coventry,2,1,18,13,8,5,1,0,3,Home,1,0.15384615384615385,1.8888888888888888
2000-09-16,2000,Aston Villa,Bradford,2,0,12,7,5,8,0,0,3,Home,2,0.2857142857142857,1.8333333333333333
2000-09-16,2000,Charlton,Tottenham,1,0,9,5,7,8,0,0,3,Home,1,0.2,1.5555555555555556
2000-09-16,2000,Everton,Man United,1,3,6,4,6,10,4,0,0,Home,-2,0.25,2.0
2000-09-16,2000,Leeds,Ipswich,1,2,11,6,6,12,1,0,0,Home,-1,0.16666666666666666,1.4545454545454546
2000-09-16,2000,Southampton,Newcastle,2,0,13,9,4,14,0,0,3,Home,2,0.2222222222222222,2.0
2000-09-16,2000,Sunderland,Derby,2,1,15,8,4,16,2,0,3,Home,1,0.25,1.6
2000-09-17,2000,Chelsea,Leicester,0,2,16,10,15,16,3,0,0,Home,-2,0.0,1.25
2000-09-17,2000,Man City,Middlesbrough,1,1,11,4,9,15,2,0,1,Home,0,0.25,1.0909090909090908
2000-09-17,2000,West Ham,Liverpool,1,1,15,4,9,5,0,0,1,Home,0,0.25,0.8
2000-09-23,2000,Bradford,Southampton,0,1,14,6,7,14,3,0,0,Home,-1,0.0,0.8571428571428571
2000-09-23,2000,Coventry,West Ham,0,3,9,2,5,12,0,0,0,Home,-3,0.0,0.4444444444444444
2000-09-23,2000,Derby,Leeds,1,1,13,7,7,17,2,1,1,Home,0,0.14285714285714285,1.3846153846153846
2000-09-23,2000,Ipswich,Arsenal,1,1,17,6,4,8,1,0,1,Home,0,0.16666666666666666,0.9411764705882353
2000-09-23,2000,Liverpool,Sunderland,1,1,11,6,12,14,2,0,1,Home,0,0.16666666666666666,1.4545454545454546
2000-09-23,2000,Man United,Chelsea,3,3,11,5,8,15,3,0,1,Home,0,0.6,2.0
2000-09-23,2000,Middlesbrough,Aston Villa,1,1,12,5,5,7,3,0,1,Home,0,0.2,1.1666666666666667
2000-09-23,2000,Newcastle,Charlton,0,1,12,5,4,14,1,0,0,Home,-1,0.0,0.8333333333333334
2000-09-23,2000,Tottenham,Man City,0,0,18,5,5,10,0,0,1,Home,0,0.0,0.5555555555555556
2000-09-24,2000,Leicester,Everton,1,1,10,4,9,14,3,0,1,Home,0,0.25,1.2
2000-09-30,2000,Aston Villa,Derby,4,1,12,7,6,0,1,0,3,Home,3,0.5714285714285714,2.5
2000-09-30,2000,Charlton,Coventry,2,2,12,8,6,8,1,0,1,Home,0,0.25,2.0
2000-09-30,2000,Everton,Ipswich,0,3,7,3,4,6,1,0,0,Home,-3,0.0,0.8571428571428571
2000-09-30,2000,Leeds,Tottenham,4,3,14,7,6,11,0,0,3,Home,1,0.5714285714285714,2.142857142857143
2000-09-30,2000,Man City,Newcastle,0,1,9,7,10,16,0,0,0,Home,-1,0.0,1.5555555555555556
2000-09-30,2000,Southampton,Middlesbrough,1,3,16,8,6,6,2,0,0,Home,-2,0.125,1.25
2000-09-30,2000,West Ham,Bradford,1,1,14,6,7,14,3,0,1,Home,0,0.16666666666666666,1.1428571428571428
2000-10-01,2000,Arsenal,Man United,1,0,7,5,3,18,2,0,3,Home,1,0.2,2.0
2000-10-01,2000,Chelsea,Liverpool,3,0,11,5,3,14,1,0,3,Home,3,0.6,2.0
2000-10-01,2000,Sunderland,Leicester,0,0,11,5,6,12,3,0,1,Home,0,0.0,0.9090909090909091
2000-10-14,2000,Arsenal,Aston Villa,1,0,16,10,7,12,1,0,3,Home,1,0.1,1.5
2000-10-14,2000,Coventry,Tottenham,2,1,0,5,3,12,0,1,3,Home,1,0.4,18.0
2000-10-14,2000,Everton,Southampton,1,1,7,3,9,16,1,0,1,Home,0,0.3333333333333333,1.4285714285714286
2000-10-14,2000,Ipswich,West Ham,1,1,11,8,8,10,0,0,1,Home,0,0.125,1.8181818181818181
2000-10-14,2000,Leeds,Charlton,3,1,22,10,8,7,0,0,3,Home,2,0.3,1.4545454545454546
2000-10-14,2000,Leicester,Man United,0,3,10,4,6,8,0,0,0,Home,-3,0.0,0.8
2000-10-14,2000,Man City,Bradford,2,0,13,10,5,10,0,0,3,Home,2,0.2,2.1538461538461537
2000-10-14,2000,Sunderland,Chelsea,1,0,16,11,5,12,0,1,3,Home,1,0.09090909090909091,1.625
2000-10-15,2000,Derby,Liverpool,0,4,6,0,4,18,1,0,0,Home,-4,0.0,0.0
2000-10-16,2000,Middlesbrough,Newcastle,1,3,8,2,6,8,2,0,0,Home,-2,0.5,1.0
2000-10-21,2000,Bradford,Ipswich,0,2,7,3,9,15,1,0,0,Home,-2,0.0,0.8571428571428571
2000-10-21,2000,Charlton,Middlesbrough,1,0,5,2,5,11,2,0,3,Home,1,0.5,1.6
2000-10-21,2000,Chelsea,Coventry,6,1,33,19,10,6,0,0,3,Home,5,0.3157894736842105,1.878787878787879
2000-10-21,2000,Liverpool,Leicester,1,0,24,11,10,8,1,0,3,Home,1,0.09090909090909091,1.0833333333333333
2000-10-21,2000,Man United,Leeds,3,0,26,14,12,9,0,0,3,Home,3,0.21428571428571427,1.5384615384615385
2000-10-21,2000,Newcastle,Everton,0,1,11,4,5,9,1,0,0,Home,-1,0.0,0.7272727272727273
2000-10-21,2000,Tottenham,Derby,3,1,18,8,7,9,1,0,3,Home,2,0.375,1.5555555555555556
2000-10-21,2000,West Ham,Arsenal,1,2,11,3,5,15,1,0,0,Home,-1,0.3333333333333333,0.9090909090909091
2000-10-22,2000,Aston Villa,Sunderland,0,0,17,4,7,11,1,0,1,Home,0,0.0,0.47058823529411764
2000-10-23,2000,Southampton,Man City,0,2,19,6,9,10,1,0,0,Home,-2,0.0,0.631578947368421
2000-10-28,2000,Arsenal,Man City,5,0,22,14,10,6,0,0,3,Home,5,0.35714285714285715,2.1818181818181817
2000-10-28,2000,Aston Villa,Charlton,2,1,12,7,9,13,3,0,3,Home,1,0.2857142857142857,1.8333333333333333
2000-10-28,2000,Chelsea,Tottenham,3,0,9,7,2,12,3,0,3,Home,3,0.42857142857142855,2.888888888888889
2000-10-28,2000,Ipswich,Middlesbrough,2,1,19,11,6,8,0,0,3,Home,1,0.18181818181818182,1.5789473684210527
2000-10-28,2000,Leicester,Derby,2,1,9,5,7,9,0,0,3,Home,1,0.4,2.0
2000-10-28,2000,Man United,Southampton,5,0,16,8,7,5,0,0,3,Home,5,0.625,2.25
2000-10-28,2000,Sunderland,Coventry,1,0,11,7,1,17,2,0,3,Home,1,0.14285714285714285,1.6363636363636365
2000-10-28,2000,West Ham,Newcastle,1,0,11,4,3,15,3,0,3,Home,1,0.25,1.0909090909090908
2000-10-29,2000,Bradford,Leeds,1,1,11,6,5,15,3,0,1,Home,0,0.16666666666666666,1.4545454545454546
2000-10-29,2000,Liverpool,Everton,3,1,10,8,9,10,0,0,3,Home,2,0.375,2.8
2000-11-04,2000,Charlton,Bradford,2,0,11,7,3,10,0,0,3,Home,2,0.2857142857142857,2.0
2000-11-04,2000,Coventry,Man United,1,2,4,2,3,17,1,0,0,Home,-1,0.5,2.0
2000-11-04,2000,Leeds,Liverpool,4,3,10,7,7,18,1,0,3,Home,1,0.5714285714285714,3.0
2000-11-04,2000,Man City,Leicester,0,1,14,3,9,12,1,0,0,Home,-1,0.0,0.42857142857142855
2000-11-04,2000,Middlesbrough,Arsenal,0,1,4,3,5,10,1,1,0,Home,-1,0.0,1.5
2000-11-04,2000,Newcastle,Ipswich,2,1,11,6,7,13,1,0,3,Home,1,0.3333333333333333,1.8181818181818181
2000-11-04,2000,Southampton,Chelsea,3,2,10,4,7,16,4,0,3,Home,1,0.75,2.0
2000-11-04,2000,Tottenham,Sunderland,2,1,11,6,8,18,1,1,3,Home,1,0.3333333333333333,1.8181818181818181
2000-11-05,2000,Everton,Aston Villa,0,1,14,6,6,17,3,0,0,Home,-1,0.0,0.8571428571428571
2000-11-06,2000,Derby,West Ham,0,0,14,2,6,14,1,0,1,Home,0,0.0,0.2857142857142857
2000-11-11,2000,Arsenal,Derby,0,0,15,9,10,12,0,0,1,Home,0,0.0,1.2
2000-11-11,2000,Aston Villa,Tottenham,2,0,11,6,10,15,0,0,3,Home,2,0.3333333333333333,1.8181818181818181
2000-11-11,2000,Bradford,Everton,0,1,11,6,3,8,1,0,0,Home,-1,0.0,1.0909090909090908
2000-11-11,2000,Ipswich,Charlton,2,0,30,13,13,8,0,0,3,Home,2,0.15384615384615385,1.1333333333333333
2000-11-11,2000,Leicester,Newcastle,1,1,8,4,0,7,1,0,1,Home,0,0.25,1.5
2000-11-11,2000,Man United,Middlesbrough,2,1,18,11,10,5,0,0,3,Home,1,0.18181818181818182,1.6666666666666667
2000-11-11,2000,Sunderland,Southampton,2,2,11,5,7,13,1,0,1,Home,0,0.4,1.6363636363636365
2000-11-11,2000,West Ham,Man City,4,1,22,11,7,7,1,0,3,Home,3,0.36363636363636365,1.7272727272727273
2000-11-12,2000,Chelsea,Leeds,1,1,12,7,3,19,4,0,1,Home,0,0.14285714285714285,1.5
2000-11-12,2000,Liverpool,Coventry,4,1,19,13,7,10,1,0,3,Home,3,0.3076923076923077,2.210526315789474
2000-11-18,2000,Charlton,Chelsea,2,0,10,6,4,18,2,0,3,Home,2,0.3333333333333333,2.0
2000-11-18,2000,Derby,Bradford,2,0,7,3,2,10,3,0,3,Home,2,0.6666666666666666,2.0
2000-11-18,2000,Everton,Arsenal,2,0,4,2,3,20,3,0,3,Home,2,1.0,3.0
2000-11-18,2000,Leeds,West Ham,0,1,15,6,2,14,1,0,0,Home,-1,0.0,0.8
2000-11-18,2000,Man City,Man United,0,1,10,4,10,13,3,0,0,Home,-1,0.0,0.8
2000-11-18,2000,Middlesbrough,Leicester,0,3,11,4,6,8,3,0,0,Home,-3,0.0,0.7272727272727273
2000-11-18,2000,Newcastle,Sunderland,1,2,19,9,1,17,1,0,0,Home,-1,0.1111111111111111,1.1578947368421053
2000-11-18,2000,Southampton,Aston Villa,2,0,7,3,3,10,0,0,3,Home,2,0.6666666666666666,2.0
2000-11-19,2000,Tottenham,Liverpool,2,1,6,4,6,11,1,0,3,Home,1,0.5,2.6666666666666665
2000-11-20,2000,Coventry,Ipswich,0,1,12,5,5,10,1,0,0,Home,-1,0.0,0.8333333333333334
2000-11-25,2000,Charlton,Sunderland,0,1,10,2,7,16,0,0,0,Home,-1,0.0,0.4
2000-11-25,2000,Coventry,Aston Villa,1,1,10,2,6,9,1,0,1,Home,0,0.5,0.8
2000-11-25,2000,Derby,Man United,0,3,1,0,3,12,2,0,0,Home,-3,0.0,0.0
2000-11-25,2000,Everton,Chelsea,2,1,11,5,1,11,0,0,3,Home,1,0.4,1.6363636363636365
2000-11-25,2000,Man City,Ipswich,2,3,9,4,6,8,0,0,0,Home,-1,0.5,1.7777777777777777
2000-11-25,2000,Middlesbrough,Bradford,2,2,14,9,6,17,0,1,1,Home,0,0.2222222222222222,1.8571428571428572
2000-11-25,2000,Southampton,West Ham,2,3,10,5,6,12,1,0,0,Home,-1,0.4,1.8
2000-11-25,2000,Tottenham,Leicester,3,0,15,7,5,21,1,0,3,Home,3,0.42857142857142855,1.7333333333333334
2000-11-26,2000,Leeds,Arsenal,1,0,12,6,8,19,1,0,3,Home,1,0.16666666666666666,1.3333333333333333
2000-11-26,2000,Newcastle,Liverpool,2,1,9,6,5,17,3,0,3,Home,1,0.3333333333333333,2.2222222222222223
2000-12-02,2000,Arsenal,Southampton,1,0,24,12,16,14,0,0,3,Home,1,0.08333333333333333,1.1666666666666667
2000-12-02,2000,Aston Villa,Newcastle,1,1,8,4,8,11,2,0,1,Home,0,0.25,1.5
2000-12-02,2000,Bradford,Coventry,2,1,10,6,9,11,3,0,3,Home,1,0.3333333333333333,2.0
2000-12-02,2000,Ipswich,Derby,0,1,11,5,6,13,1,0,0,Home,-1,0.0,0.9090909090909091
2000-12-02,2000,Leicester,Leeds,3,1,8,5,0,10,1,0,3,Home,2,0.6,2.75
2000-12-02,2000,Liverpool,Charlton,3,0,13,3,6,10,1,0,3,Home,3,1.0,1.3846153846153846
2000-12-02,2000,Man United,Tottenham,2,0,16,8,7,7,2,0,3,Home,2,0.25,1.5
2000-12-02,2000,West Ham,Middlesbrough,1,0,14,6,7,17,1,0,3,Home,1,0.16666666666666666,1.1428571428571428
2000-12-03,2000,Chelsea,Man City,2,1,9,7,7,9,2,0,3,Home,1,0.2857142857142857,2.4444444444444446
2000-12-04,2000,Sunderland,Everton,2,0,24,11,8,16,0,0,3,Home,2,0.18181818181818182,1.25
2000-12-09,2000,Arsenal,Newcastle,5,0,15,10,5,10,0,0,3,Home,5,0.5,2.6666666666666665
2000-12-09,2000,Bradford,Tottenham,3,3,13,6,7,6,2,0,1,Home,0,0.5,1.8461538461538463
2000-12-09,2000,Charlton,Man United,3,3,15,8,9,6,0,0,1,Home,0,0.375,1.8666666666666667
2000-12-09,2000,Chelsea,Derby,4,1,19,10,3,8,0,0,3,Home,3,0.4,1.894736842105263
2000-12-09,2000,Man City,Everton,5,0,13,9,5,12,0,0,3,Home,5,0.5555555555555556,2.923076923076923
2000-12-09,2000,Southampton,Leeds,1,0,12,3,2,13,3,1,3,Home,1,0.3333333333333333,0.8333333333333334
2000-12-09,2000,Sunderland,Middlesbrough,1,0,8,5,5,22,1,0,3,Home,1,0.2,1.75
2000-12-09,2000,West Ham,Aston Villa,1,1,13,5,4,14,1,0,1,Home,0,0.2,1.0769230769230769
2000-12-10,2000,Coventry,Leicester,1,0,12,5,8,11,0,0,3,Home,1,0.2,1.1666666666666667
2000-12-10,2000,Liverpool,Ipswich,0,1,14,5,8,12,1,0,0,Home,-1,0.0,0.7142857142857143
2000-12-16,2000,Aston Villa,Man City,2,2,10,5,5,8,2,1,1,Home,0,0.4,1.8
2000-12-16,2000,Derby,Coventry,1,0,4,3,3,17,1,0,3,Home,1,0.3333333333333333,2.5
2000-12-16,2000,Everton,West Ham,1,1,15,5,9,10,1,0,1,Home,0,0.2,0.9333333333333333
2000-12-16,2000,Ipswich,Southampton,3,1,15,7,6,11,1,0,3,Home,2,0.42857142857142855,1.7333333333333334
2000-12-16,2000,Leeds,Sunderland,2,0,17,8,8,16,3,0,3,Home,2,0.25,1.411764705882353
2000-12-16,2000,Leicester,Charlton,3,1,9,5,5,11,1,0,3,Home,2,0.6,2.4444444444444446
2000-12-16,2000,Middlesbrough,Chelsea,1,0,7,4,3,14,0,0,3,Home,1,0.25,1.7142857142857142
2000-12-16,2000,Newcastle,Bradford,2,1,17,6,4,16,0,0,3,Home,1,0.3333333333333333,1.1764705882352942
2000-12-17,2000,Man United,Liverpool,0,1,6,4,9,10,1,1,0,Home,-1,0.0,1.3333333333333333
2000-12-18,2000,Tottenham,Arsenal,1,1,8,4,3,20,2,0,1,Home,0,0.25,1.5
2000-12-22,2000,Coventry,Southampton,1,1,12,5,8,12,1,0,1,Home,0,0.2,1.1666666666666667
2000-12-23,2000,Charlton,Everton,1,0,10,7,13,15,1,0,3,Home,1,0.14285714285714285,1.8
2000-12-23,2000,Chelsea,Bradford,3,0,17,8,5,8,0,0,3,Home,3,0.375,1.6470588235294117
2000-12-23,2000,Derby,Newcastle,2,0,8,5,2,17,1,0,3,Home,2,0.4,2.25
2000-12-23,2000,Leeds,Aston Villa,1,2,15,5,10,18,1,0,0,Home,-1,0.2,0.9333333333333333
2000-12-23,2000,Leicester,West Ham,2,1,11,6,6,7,1,0,3,Home,1,0.3333333333333333,1.8181818181818181
2000-12-23,2000,Liverpool,Arsenal,4,0,12,6,6,18,2,0,3,Home,4,0.6666666666666666,2.3333333333333335
2000-12-23,2000,Man United,Ipswich,2,0,20,4,11,7,0,0,3,Home,2,0.5,0.8
2000-12-23,2000,Sunderland,Man City,1,0,9,5,8,14,2,0,3,Home,1,0.2,1.5555555555555556
2000-12-23,2000,Tottenham,Middlesbrough,0,0,16,8,8,22,2,0,1,Home,0,0.0,1.0
2000-12-26,2000,Arsenal,Leicester,6,1,27,15,14,14,0,0,3,Home,5,0.4,2.0
2000-12-26,2000,Aston Villa,Man United,0,1,6,3,2,15,1,0,0,Home,-1,0.0,1.0
2000-12-26,2000,Bradford,Sunderland,1,4,11,3,9,17,2,0,0,Home,-3,0.3333333333333333,0.9090909090909091
2000-12-26,2000,Everton,Coventry,1,2,17,9,5,14,2,0,0,Home,-1,0.1111111111111111,1.2941176470588236
2000-12-26,2000,Ipswich,Chelsea,2,2,19,13,8,5,0,0,1,Home,0,0.15384615384615385,1.7894736842105263
2000-12-26,2000,Man City,Derby,0,0,15,7,7,15,2,0,1,Home,0,0.0,0.9333333333333333
2000-12-26,2000,Middlesbrough,Liverpool,1,0,7,2,2,7,2,0,3,Home,1,0.5,1.1428571428571428
2000-12-26,2000,Newcastle,Leeds,2,1,13,4,7,23,4,0,3,Home,1,0.5,1.2307692307692308
2000-12-26,2000,West Ham,Charlton,5,0,17,10,5,19,1,0,3,Home,5,0.5,2.3529411764705883
2000-12-27,2000,Southampton,Tottenham,2,0,17,6,4,17,1,0,3,Home,2,0.3333333333333333,1.1764705882352942
2000-12-30,2000,Arsenal,Sunderland,2,2,17,9,11,14,0,0,1,Home,0,0.2222222222222222,1.5294117647058822
2000-12-30,2000,Ipswich,Tottenham,3,0,18,9,10,13,0,0,3,Home,3,0.3333333333333333,1.6666666666666667
2000-12-30,2000,Man City,Charlton,1,4,8,1,7,11,1,0,0,Home,-3,1.0,0.75
2000-12-30,2000,Middlesbrough,Coventry,1,1,14,6,4,9,1,0,1,Home,0,0.16666666666666666,1.1428571428571428
2000-12-30,2000,Newcastle,Man United,1,1,14,4,6,13,2,0,1,Home,0,0.25,0.8571428571428571
2000-12-30,2000,Southampton,Derby,1,0,10,5,7,17,0,0,3,Home,1,0.2,1.4
2001-01-01,2001,Charlton,Arsenal,1,0,9,4,6,15,1,0,3,Home,1,0.25,1.3333333333333333
2001-01-01,2001,Chelsea,Aston Villa,1,0,13,5,2,15,0,0,3,Home,1,0.2,1.0769230769230769
2001-01-01,2001,Coventry,Man City,1,1,19,9,12,16,1,0,1,Home,0,0.1111111111111111,1.1578947368421053
2001-01-01,2001,Derby,Everton,1,0,7,3,5,9,2,0,3,Home,1,0.3333333333333333,1.4285714285714286
2001-01-01,2001,Leeds,Middlesbrough,1,1,16,5,5,14,2,0,1,Home,0,0.2,0.875
2001-01-01,2001,Leicester,Bradford,1,2,9,3,5,11,0,0,0,Home,-1,0.3333333333333333,1.1111111111111112
2001-01-01,2001,Liverpool,Southampton,2,1,16,8,15,8,0,0,3,Home,1,0.25,1.5
2001-01-01,2001,Man United,West Ham,3,1,25,12,8,17,1,0,3,Home,2,0.25,1.44
2001-01-01,2001,Sunderland,Ipswich,4,1,16,9,4,15,1,0,3,Home,3,0.4444444444444444,2.125
2001-01-02,2001,Tottenham,Newcastle,4,2,16,10,9,11,0,1,3,Home,2,0.4,2.25
2001-01-13,2001,Arsenal,Chelsea,1,1,15,8,10,13,1,0,1,Home,0,0.125,1.3333333333333333
2001-01-13,2001,Aston Villa,Liverpool,0,3,5,1,1,7,2,0,0,Home,-3,0.0,0.4
2001-01-13,2001,Bradford,Man United,0,3,9,3,1,11,1,0,0,Home,-3,0.0,0.6666666666666666
2001-01-13,2001,Everton,Tottenham,0,0,17,8,9,11,1,0,1,Home,0,0.0,0.9411764705882353
2001-01-13,2001,Man City,Leeds,0,4,5,3,4,23,5,0,0,Home,-4,0.0,1.2
2001-01-13,2001,Middlesbrough,Derby,4,0,13,8,4,8,0,0,3,Home,4,0.5,2.4615384615384617
2001-01-13,2001,Newcastle,Coventry,3,1,11,6,2,6,0,0,3,Home,2,0.5,2.1818181818181817
2001-01-13,2001,Southampton,Charlton,0,0,17,6,9,8,0,0,1,Home,0,0.0,0.7058823529411765
2001-01-13,2001,West Ham,Sunderland,0,2,13,6,9,20,4,0,0,Home,-2,0.0,0.9230769230769231
2001-01-14,2001,Ipswich,Leicester,2,0,22,9,8,14,1,0,3,Home,2,0.2222222222222222,1.1818181818181819
2001-01-20,2001,Chelsea,Ipswich,4,1,23,10,11,11,3,0,3,Home,3,0.4,1.565217391304348
2001-01-20,2001,Coventry,Everton,1,3,9,5,15,9,0,0,0,Home,-2,0.2,1.5555555555555556
2001-01-20,2001,Derby,Man City,1,1,9,3,5,17,2,0,1,Home,0,0.3333333333333333,1.1111111111111112
2001-01-20,2001,Leeds,Newcastle,1,3,12,5,16,12,2,0,0,Home,-2,0.2,1.1666666666666667
2001-01-20,2001,Leicester,Arsenal,0,0,3,0,1,6,2,1,1,Home,0,0.0,0.0
2001-01-20,2001,Liverpool,Middlesbrough,0,0,22,7,7,9,1,0,1,Home,0,0.0,0.6363636363636364
2001-01-20,2001,Man United,Aston Villa,2,0,12,7,7,10,1,0,3,Home,2,0.2857142857142857,1.8333333333333333
2001-01-20,2001,Tottenham,Southampton,0,0,9,4,6,10,0,0,1,Home,0,0.0,0.8888888888888888
2001-01-21,2001,Sunderland,Bradford,0,0,14,6,8,10,0,0,1,Home,0,0.0,0.8571428571428571
2001-01-22,2001,Charlton,West Ham,1,1,9,3,0,11,0,0,1,Home,0,0.3333333333333333,1.1111111111111112
2001-01-24,2001,Aston Villa,Leeds,1,2,12,4,5,11,2,0,0,Home,-1,0.25,1.0
2001-01-30,2001,Arsenal,Bradford,2,0,20,8,6,12,1,0,3,Home,2,0.25,1.2
2001-01-30,2001,Charlton,Derby,2,1,13,9,9,13,2,0,3,Home,1,0.2222222222222222,2.0
2001-01-31,2001,Chelsea,Newcastle,3,1,14,4,7,12,1,0,3,Home,2,0.75,1.4285714285714286
2001-01-31,2001,Everton,Middlesbrough,2,2,17,8,9,17,1,0,1,Home,0,0.25,1.411764705882353
2001-01-31,2001,Leeds,Coventry,1,0,11,6,9,18,4,0,3,Home,1,0.16666666666666666,1.4545454545454546
2001-01-31,2001,Man City,Liverpool,1,1,4,2,5,17,1,0,1,Home,0,0.5,2.0
